                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.93132,                 0.3335,                 1.1984,                0.99982,                      1,                0.99499,                0.84688,                0.88409,                0.25327,                 1.2802,               0.006535,               0.006535,               0.006535
                     38,                 0.9306,                0.33155,                 1.1988,                0.99979,                      1,                  0.995,                0.84624,                0.88373,                0.25311,                 1.2797,               0.006436,               0.006436,               0.006436
                     39,                0.92953,                0.33218,                 1.1983,                0.99968,                      1,                0.99499,                0.84726,                0.88363,                0.25333,                 1.2799,               0.006337,               0.006337,               0.006337
                     40,                0.92922,                0.33021,                 1.1987,                0.99969,                      1,                0.99499,                0.84606,                0.88345,                0.25266,                 1.2798,               0.006238,               0.006238,               0.006238
                     41,                0.92917,                0.33029,                 1.1963,                0.99969,                      1,                0.99499,                 0.8464,                0.88324,                0.25256,                 1.2795,               0.006139,               0.006139,               0.006139
                     42,                0.92855,                0.32918,                 1.1987,                 0.9997,                0.99997,                0.99499,                0.84683,                0.88299,                0.25228,                 1.2793,                0.00604,                0.00604,                0.00604
                     43,                0.92708,                0.32887,                 1.1972,                0.99971,                0.99999,                0.99499,                 0.8465,                0.88281,                0.25198,                 1.2791,               0.005941,               0.005941,               0.005941
                     44,                 0.9256,                0.32855,                 1.1967,                0.99969,                0.99997,                0.99499,                0.84701,                0.88247,                0.25199,                 1.2787,               0.005842,               0.005842,               0.005842
                     45,                0.92785,                0.32791,                 1.1942,                0.99975,                0.99997,                0.99499,                0.84732,                0.88227,                0.25185,                 1.2786,               0.005743,               0.005743,               0.005743
                     46,                0.92709,                0.32758,                 1.1964,                0.99971,                0.99999,                0.99499,                  0.847,                0.88226,                0.25144,                 1.2784,               0.005644,               0.005644,               0.005644
                     47,                 0.9262,                0.32645,                 1.1956,                0.99972,                      1,                0.99499,                0.84714,                0.88216,                0.25136,                  1.278,               0.005545,               0.005545,               0.005545
                     48,                0.92604,                0.32747,                 1.1948,                0.99974,                      1,                0.99499,                0.84786,                0.88206,                0.25154,                 1.2778,               0.005446,               0.005446,               0.005446
                     49,                  0.924,                0.32501,                 1.1948,                0.99972,                      1,                0.99499,                0.84797,                 0.8817,                 0.2513,                 1.2775,               0.005347,               0.005347,               0.005347
                     50,                0.92335,                0.32558,                 1.1943,                0.99977,                      1,                0.99499,                0.84825,                0.88123,                0.25097,                 1.2773,               0.005248,               0.005248,               0.005248
                     51,                 0.9232,                0.32515,                 1.1942,                0.99976,                0.99999,                0.99499,                 0.8489,                0.88109,                0.25049,                 1.2772,               0.005149,               0.005149,               0.005149
                     52,                0.92307,                0.32421,                 1.1953,                0.99977,                0.99999,                0.99499,                0.84914,                0.88042,                0.25039,                 1.2771,                0.00505,                0.00505,                0.00505
                     53,                0.92238,                0.32481,                 1.1929,                0.99981,                      1,                0.99498,                0.84878,                0.88023,                0.25042,                 1.2769,               0.004951,               0.004951,               0.004951
                     54,                0.92289,                0.32301,                 1.1945,                0.99977,                0.99999,                  0.995,                0.84898,                0.88016,                0.25018,                 1.2766,               0.004852,               0.004852,               0.004852
                     55,                0.92137,                0.32207,                 1.1933,                0.99981,                      1,                  0.995,                0.84901,                0.88024,                0.24986,                 1.2764,               0.004753,               0.004753,               0.004753
                     56,                0.92133,                 0.3239,                 1.1934,                 0.9998,                      1,                0.99499,                 0.8489,                0.88023,                0.24973,                 1.2763,               0.004654,               0.004654,               0.004654
                     57,                0.92032,                 0.3213,                 1.1925,                 0.9998,                      1,                0.99499,                0.84878,                 0.8797,                0.24955,                 1.2761,               0.004555,               0.004555,               0.004555
                     58,                0.91871,                0.32064,                 1.1916,                0.99983,                      1,                0.99499,                0.84957,                0.87948,                0.24964,                 1.2757,               0.004456,               0.004456,               0.004456
                     59,                0.92052,                0.32104,                 1.1926,                0.99982,                      1,                0.99499,                0.84842,                0.87922,                0.24919,                 1.2755,               0.004357,               0.004357,               0.004357
                     60,                0.92065,                0.32021,                 1.1919,                0.99985,                      1,                0.99498,                0.84912,                0.87915,                0.24925,                 1.2755,               0.004258,               0.004258,               0.004258
                     61,                0.92123,                0.32132,                 1.1902,                0.99983,                      1,                0.99498,                0.84866,                0.87917,                0.24902,                 1.2753,               0.004159,               0.004159,               0.004159
                     62,                0.91858,                0.31979,                 1.1908,                0.99984,                      1,                0.99499,                0.84902,                0.87907,                0.24916,                 1.2755,                0.00406,                0.00406,                0.00406
