                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.91877,                0.32656,                 1.1956,                0.99974,                0.99999,                  0.995,                0.84763,                0.87768,                 0.2551,                 1.2791,               0.006535,               0.006535,               0.006535
                     38,                  0.919,                0.32628,                 1.1961,                0.99973,                      1,                0.99499,                0.84753,                 0.8773,                0.25456,                 1.2788,               0.006436,               0.006436,               0.006436
                     39,                0.91621,                0.32486,                 1.1939,                0.99973,                      1,                  0.995,                0.84827,                0.87692,                0.25453,                 1.2784,               0.006337,               0.006337,               0.006337
                     40,                0.91777,                0.32424,                 1.1953,                0.99972,                      1,                  0.995,                0.84792,                0.87635,                0.25364,                 1.2777,               0.006238,               0.006238,               0.006238
                     41,                0.91773,                0.32377,                 1.1936,                0.99972,                      1,                  0.995,                0.84827,                0.87596,                0.25352,                 1.2777,               0.006139,               0.006139,               0.006139
                     42,                0.91585,                 0.3243,                 1.1942,                0.99971,                      1,                  0.995,                0.84888,                0.87597,                0.25345,                 1.2778,                0.00604,                0.00604,                0.00604
                     43,                0.91475,                0.32313,                 1.1934,                0.99972,                      1,                  0.995,                0.84928,                0.87623,                 0.2536,                 1.2782,               0.005941,               0.005941,               0.005941
                     44,                0.91536,                0.32416,                 1.1935,                0.99974,                      1,                  0.995,                0.84917,                0.87645,                0.25338,                 1.2785,               0.005842,               0.005842,               0.005842
                     45,                0.91624,                0.32401,                 1.1934,                0.99974,                      1,                  0.995,                0.84889,                0.87678,                0.25369,                  1.279,               0.005743,               0.005743,               0.005743
                     46,                0.91521,                0.32346,                 1.1932,                0.99977,                      1,                  0.995,                0.84863,                0.87639,                0.25359,                 1.2788,               0.005644,               0.005644,               0.005644
                     47,                0.91425,                0.32193,                 1.1921,                0.99977,                      1,                  0.995,                0.84823,                0.87598,                0.25319,                 1.2782,               0.005545,               0.005545,               0.005545
                     48,                0.91385,                0.32121,                 1.1918,                0.99978,                      1,                  0.995,                  0.849,                0.87567,                0.25323,                 1.2778,               0.005446,               0.005446,               0.005446
                     49,                0.91247,                 0.3206,                 1.1911,                0.99976,                      1,                  0.995,                0.84913,                0.87535,                0.25299,                 1.2774,               0.005347,               0.005347,               0.005347
                     50,                0.91113,                0.31948,                 1.1902,                0.99975,                      1,                  0.995,                0.84839,                0.87497,                0.25266,                 1.2769,               0.005248,               0.005248,               0.005248
                     51,                0.91156,                0.32142,                 1.1907,                0.99976,                      1,                  0.995,                0.84795,                0.87501,                0.25239,                 1.2768,               0.005149,               0.005149,               0.005149
                     52,                0.91117,                0.31968,                 1.1915,                0.99978,                      1,                  0.995,                0.84826,                0.87511,                0.25211,                 1.2769,                0.00505,                0.00505,                0.00505
                     53,                0.91047,                0.31906,                 1.1895,                0.99979,                      1,                  0.995,                0.84888,                0.87492,                0.25197,                 1.2764,               0.004951,               0.004951,               0.004951
                     54,                0.91133,                0.31839,                 1.1905,                0.99981,                      1,                  0.995,                0.84925,                0.87459,                0.25183,                 1.2759,               0.004852,               0.004852,               0.004852
                     55,                0.91074,                0.31818,                 1.1905,                0.99982,                      1,                  0.995,                0.84982,                0.87445,                0.25162,                 1.2758,               0.004753,               0.004753,               0.004753
                     56,                0.90969,                0.31741,                 1.1891,                0.99981,                      1,                  0.995,                0.85008,                0.87436,                0.25143,                 1.2758,               0.004654,               0.004654,               0.004654
                     57,                0.90949,                0.31733,                  1.189,                0.99982,                      1,                  0.995,                0.84924,                0.87407,                0.25135,                 1.2752,               0.004555,               0.004555,               0.004555
                     58,                0.90668,                0.31693,                 1.1873,                0.99981,                      1,                  0.995,                0.84933,                0.87352,                0.25077,                 1.2748,               0.004456,               0.004456,               0.004456
                     59,                 0.9085,                0.31549,                 1.1882,                 0.9998,                      1,                  0.995,                0.84886,                0.87314,                0.25029,                 1.2746,               0.004357,               0.004357,               0.004357
                     60,                0.90871,                0.31487,                 1.1871,                0.99982,                      1,                  0.995,                0.84894,                0.87298,                0.25006,                 1.2745,               0.004258,               0.004258,               0.004258
                     61,                0.90809,                0.31471,                 1.1856,                0.99982,                      1,                  0.995,                0.84944,                0.87288,                0.24993,                 1.2746,               0.004159,               0.004159,               0.004159
                     62,                0.90567,                 0.3137,                 1.1872,                0.99983,                      1,                  0.995,                0.84952,                0.87273,                0.24982,                 1.2747,                0.00406,                0.00406,                0.00406
                     63,                0.90451,                0.31298,                 1.1861,                0.99981,                      1,                  0.995,                0.84972,                0.87261,                0.24972,                 1.2744,               0.003961,               0.003961,               0.003961
                     64,                0.90553,                0.31347,                 1.1862,                0.99978,                      1,                  0.995,                0.85052,                0.87203,                0.24964,                 1.2741,               0.003862,               0.003862,               0.003862
                     65,                 0.9049,                0.31262,                  1.186,                0.99979,                      1,                  0.995,                  0.851,                0.87191,                0.24925,                 1.2738,               0.003763,               0.003763,               0.003763
                     66,                0.90438,                0.31178,                 1.1853,                0.99983,                      1,                  0.995,                0.85085,                0.87138,                0.24898,                 1.2733,               0.003664,               0.003664,               0.003664
                     67,                0.90298,                0.31141,                 1.1836,                0.99983,                      1,                  0.995,                0.85117,                0.87137,                0.24878,                 1.2733,               0.003565,               0.003565,               0.003565
                     68,                0.90226,                0.31144,                 1.1833,                0.99983,                      1,                  0.995,                0.85097,                0.87169,                0.24902,                 1.2735,               0.003466,               0.003466,               0.003466
                     69,                0.90239,                0.31109,                 1.1843,                0.99985,                      1,                  0.995,                0.85099,                0.87156,                0.24889,                 1.2734,               0.003367,               0.003367,               0.003367
                     70,                 0.9009,                0.30963,                 1.1827,                0.99984,                      1,                  0.995,                0.85114,                0.87129,                0.24874,                 1.2731,               0.003268,               0.003268,               0.003268
